车型,发动机类型,燃油类型,变速箱类型,排量(L),整备质量(kg),马力(hp),路况类型,交通状况,天气状况,环境温度(℃),驾驶风格,平均车速(km/h),车速波动,加速强度,刹车频率,定速巡航占比,海拔变化(m),胎压(bar),空调使用,乘客人数,行李重量(kg),纵向加速度均值(m/s²),纵向加速度标准差(m/s²),横向加速度均值(m/s²),横向加速度标准差(m/s²),急加速事件次数,急刹车事件次数,急变道事件次数,加减速切换频率(次/小时),怠速时间占比,大油门持续占比,加速度变化率均值(m/s³),百公里油耗(L)
皮卡,自然吸气,柴油,CVT,1.4,1644.0,148.0,山区公路,畅通,雪天,19.4,激进,57.7,6.5,0.5,0.8,0.7,254.0,2.8,1,5,46.0,2.181,0.745,0.976,0.459,5,1,0,16.1,0.17,0.053,1.346,23.31
SUV,混动,柴油,自动,3.0,2338.0,131.0,乡村公路,缓行,雨天,38.8,标准,79.4,13.4,0.72,0.29,0.58,357.0,2.5,0,1,32.0,1.965,0.703,1.294,0.362,2,2,0,13.9,0.071,0.028,0.782,19.88
跑车,涡轮增压,柴油,CVT,2.5,1354.0,192.0,城市道路,缓行,雾天,-3.3,温和,110.7,24.1,0.52,0.67,0.55,182.0,2.8,1,3,22.0,0.471,0.363,0.546,0.258,1,0,0,5.2,0.096,0.06,0.407,21.85
SUV,混动,柴油,自动,3.6,2384.0,108.0,城市道路,畅通,雪天,34.4,标准,79.7,34.9,0.45,0.14,0.31,138.0,2.7,0,1,52.0,1.991,0.517,1.328,0.493,1,3,2,12.2,0.228,0.054,0.587,21.79
跑车,自然吸气,柴油,手动,2.6,1208.0,241.0,城市道路,严重拥堵,晴天,28.3,激进,109.7,37.6,0.23,0.53,0.04,340.0,2.5,1,1,85.0,2.18,0.523,1.176,0.795,1,2,2,20.3,0.078,0.075,2.347,25.0
皮卡,插电混动,柴油,手动,2.3,1809.0,275.0,山区公路,缓行,晴天,2.9,温和,98.2,7.5,0.58,0.71,0.27,342.0,2.1,1,3,34.0,0.908,0.29,0.195,0.04,2,0,1,8.5,0.127,0.053,0.558,19.92
MPV,涡轮增压,汽油,CVT,3.0,1693.0,309.0,高速公路,严重拥堵,雪天,27.4,温和,114.6,32.9,0.81,0.73,0.24,354.0,2.1,1,1,97.0,0.839,0.173,0.501,0.044,1,1,0,3.4,0.261,0.025,0.552,25.0
SUV,混动,汽油,手动,3.1,1681.0,398.0,高速公路,缓行,晴天,0.1,温和,26.2,30.6,0.29,0.79,0.42,392.0,2.9,0,3,193.0,0.716,0.392,0.522,0.096,3,0,0,4.0,0.138,0.044,0.434,18.84
MPV,插电混动,柴油,CVT,2.7,2073.0,266.0,乡村公路,畅通,雪天,-9.3,激进,92.0,16.4,0.73,0.31,0.78,193.0,2.5,1,4,191.0,2.446,0.3,0.404,0.454,5,4,2,9.5,0.058,0.163,1.498,22.95
轿车,涡轮增压,汽油,自动,2.5,1425.0,164.0,山区公路,畅通,雪天,-5.6,标准,100.0,28.9,0.36,0.66,0.04,35.0,2.7,1,5,119.0,2.11,0.876,0.591,0.4,2,3,0,13.4,0.126,0.068,0.383,20.66
SUV,涡轮增压,汽油,CVT,1.3,1836.0,254.0,城市道路,拥堵,雨天,-6.0,标准,110.1,39.6,0.19,0.32,0.59,329.0,2.1,1,4,83.0,1.343,0.566,1.001,0.32,1,2,1,6.8,0.057,0.117,0.72,25.0
SUV,插电混动,柴油,双离合,2.4,1322.0,339.0,高速公路,严重拥堵,雾天,10.5,温和,22.4,25.6,0.32,0.34,0.42,234.0,2.6,1,3,110.0,0.498,0.134,0.168,0.04,1,1,0,3.8,0.138,0.049,0.427,16.2
MPV,自然吸气,汽油,双离合,1.4,1802.0,188.0,山区公路,缓行,雨天,39.0,标准,102.0,7.3,0.89,0.66,0.53,27.0,2.8,0,5,90.0,2.04,0.384,0.684,0.423,3,1,0,14.8,0.172,0.007,1.102,21.74
SUV,自然吸气,柴油,CVT,3.8,1438.0,121.0,城市道路,拥堵,雨天,27.1,激进,114.6,18.3,0.72,0.52,0.15,101.0,2.6,0,5,3.0,2.01,1.255,1.282,0.113,1,2,1,13.4,0.052,0.049,0.753,24.93
跑车,涡轮增压,汽油,CVT,2.8,2184.0,131.0,城市道路,缓行,雪天,-2.5,标准,106.9,29.5,0.19,0.37,0.3,352.0,2.1,0,3,5.0,2.122,0.603,0.148,0.566,0,3,1,14.4,0.105,0.083,0.604,25.0
轿车,插电混动,柴油,双离合,3.1,1541.0,396.0,高速公路,畅通,雨天,5.4,激进,112.6,22.8,0.66,0.67,0.55,407.0,2.1,0,1,25.0,2.479,0.73,1.875,0.137,2,1,0,16.0,0.12,0.126,2.671,17.78
轿车,涡轮增压,汽油,手动,2.8,2095.0,377.0,高速公路,缓行,雨天,-1.2,激进,116.6,25.3,0.57,0.68,0.01,96.0,2.1,0,3,72.0,2.819,0.877,0.734,0.812,2,4,3,7.5,0.153,0.031,1.32,25.0
轿车,混动,柴油,双离合,1.1,1470.0,153.0,乡村公路,严重拥堵,雾天,22.1,温和,101.6,7.1,0.58,0.51,0.76,50.0,2.8,0,4,2.0,0.83,0.105,0.495,0.107,0,0,0,3.9,0.218,0.022,0.855,10.89
跑车,自然吸气,汽油,CVT,1.7,1951.0,394.0,城市道路,拥堵,晴天,11.1,温和,67.9,36.9,0.52,0.66,0.47,292.0,2.7,1,4,99.0,1.037,0.42,0.399,0.101,1,0,0,1.7,0.115,0.05,0.723,25.0
跑车,自然吸气,汽油,自动,1.3,1338.0,380.0,高速公路,畅通,雪天,16.6,温和,99.7,19.2,0.88,0.78,0.8,190.0,2.7,1,1,164.0,0.354,0.188,0.307,0.255,1,1,1,5.0,0.176,0.049,0.512,19.42
MPV,插电混动,柴油,手动,1.7,1962.0,115.0,高速公路,缓行,晴天,21.4,激进,86.0,31.8,0.31,0.35,0.53,279.0,2.6,0,3,100.0,0.545,0.616,1.43,0.737,3,1,3,8.2,0.144,0.104,2.293,15.13
MPV,混动,汽油,双离合,2.4,1462.0,123.0,城市道路,严重拥堵,晴天,33.3,激进,46.6,11.8,0.59,0.55,0.35,227.0,2.1,0,5,22.0,0.677,0.737,1.797,0.632,1,0,0,9.2,0.094,0.066,1.982,22.42
轿车,涡轮增压,柴油,双离合,2.8,1538.0,253.0,乡村公路,畅通,雾天,31.0,激进,83.9,11.4,0.43,0.32,0.52,46.0,2.1,1,5,166.0,0.887,1.086,1.973,0.558,3,1,0,5.7,0.103,0.04,1.546,18.96
SUV,自然吸气,柴油,手动,2.6,1830.0,234.0,乡村公路,缓行,雾天,37.0,温和,59.3,16.3,0.36,0.25,0.32,274.0,2.7,0,4,182.0,0.379,0.157,0.27,0.291,2,1,0,5.9,0.214,0.051,0.853,19.32
跑车,自然吸气,汽油,双离合,3.8,2122.0,194.0,城市道路,拥堵,雨天,-1.4,激进,73.1,36.4,0.78,0.43,0.18,53.0,2.4,0,5,143.0,0.991,0.979,0.811,0.597,4,2,1,22.3,0.047,0.027,0.708,25.0
皮卡,混动,汽油,CVT,2.9,2328.0,371.0,乡村公路,拥堵,雨天,21.4,激进,72.3,27.7,0.65,0.42,0.52,177.0,2.5,1,2,32.0,3.112,0.491,0.396,0.763,1,1,0,4.6,0.032,0.015,2.442,25.0
SUV,自然吸气,汽油,自动,3.5,1749.0,146.0,山区公路,畅通,晴天,39.7,标准,20.1,36.1,0.54,0.46,0.59,164.0,2.6,1,2,14.0,0.663,0.353,0.334,0.55,2,1,0,5.1,0.239,0.05,0.636,21.86
轿车,混动,汽油,自动,4.0,1484.0,341.0,高速公路,拥堵,雾天,-6.1,激进,120.0,9.9,0.64,0.68,0.74,148.0,2.0,1,5,72.0,0.93,0.605,2.038,0.278,3,2,0,17.6,0.103,0.081,1.681,23.26
跑车,自然吸气,柴油,CVT,3.8,1609.0,304.0,山区公路,畅通,雪天,15.7,标准,57.9,10.5,0.27,0.27,0.39,131.0,2.0,1,3,62.0,1.119,0.606,0.186,0.558,1,1,1,10.1,0.086,0.047,0.61,24.36
MPV,自然吸气,柴油,CVT,3.4,1372.0,113.0,高速公路,缓行,雪天,21.0,温和,59.3,5.5,0.39,0.65,0.64,190.0,2.6,1,3,87.0,0.717,0.303,0.364,0.285,2,2,0,4.3,0.343,0.008,0.535,14.96
轿车,自然吸气,汽油,手动,3.6,2102.0,293.0,乡村公路,缓行,晴天,33.1,激进,77.2,30.2,0.71,0.36,0.31,98.0,2.1,0,5,110.0,0.544,0.775,1.958,0.841,3,0,0,4.7,0.064,0.134,1.53,25.0
跑车,自然吸气,柴油,手动,1.5,1523.0,180.0,山区公路,严重拥堵,雾天,23.5,激进,102.3,14.8,0.27,0.4,0.71,373.0,2.9,1,2,159.0,1.51,0.244,0.38,0.399,6,0,2,12.4,0.123,0.053,1.246,25.0
轿车,混动,柴油,CVT,1.3,2146.0,148.0,城市道路,拥堵,雨天,35.1,激进,105.7,16.4,0.3,0.6,0.62,156.0,2.7,0,5,26.0,0.905,0.443,1.8,0.848,1,0,2,12.6,0.159,0.029,0.887,18.95
轿车,自然吸气,汽油,自动,1.9,1518.0,335.0,乡村公路,拥堵,雾天,14.7,激进,54.1,8.9,0.51,0.19,0.66,166.0,2.9,0,2,80.0,0.753,1.192,0.464,0.699,2,2,2,7.5,0.143,0.022,1.242,20.07
皮卡,自然吸气,汽油,自动,3.6,2212.0,373.0,山区公路,严重拥堵,雨天,8.0,温和,74.0,27.9,0.61,0.13,0.48,236.0,2.2,0,3,25.0,0.683,0.125,0.577,0.239,0,1,1,4.2,0.226,0.021,0.211,25.0
跑车,插电混动,柴油,CVT,1.8,1213.0,332.0,乡村公路,缓行,晴天,38.1,标准,116.7,15.7,0.67,0.47,0.02,487.0,2.9,1,5,63.0,0.581,0.366,1.137,0.318,1,4,4,10.5,0.26,0.035,1.486,18.81
轿车,涡轮增压,柴油,手动,2.3,1920.0,123.0,城市道路,拥堵,晴天,7.8,标准,59.6,15.9,0.47,0.61,0.12,341.0,2.3,1,1,80.0,2.098,0.173,0.913,0.457,3,1,2,9.1,0.197,0.024,1.639,22.2
轿车,自然吸气,汽油,手动,3.3,1655.0,163.0,山区公路,畅通,雾天,17.1,温和,84.0,38.6,0.8,0.15,0.22,344.0,2.2,0,3,173.0,1.164,0.211,0.47,0.126,0,1,0,3.9,0.179,0.01,0.701,19.8
跑车,混动,柴油,CVT,2.8,2230.0,304.0,城市道路,缓行,雨天,6.7,激进,96.3,19.6,0.57,0.37,0.58,155.0,2.8,0,1,36.0,1.707,0.851,0.456,0.586,2,4,2,5.9,0.123,0.017,0.841,25.0
跑车,混动,柴油,双离合,1.0,1539.0,329.0,高速公路,拥堵,雪天,-3.6,温和,102.1,38.2,0.76,0.25,0.42,293.0,2.4,0,3,61.0,0.94,0.091,0.25,0.058,1,0,1,3.0,0.097,0.04,0.182,19.14
MPV,插电混动,汽油,双离合,3.8,1656.0,260.0,乡村公路,拥堵,晴天,28.3,温和,97.3,34.6,0.18,0.63,0.6,439.0,2.1,0,1,60.0,0.595,0.104,0.143,0.243,0,1,0,3.1,0.342,0.033,0.57,18.15
轿车,涡轮增压,汽油,CVT,3.6,1395.0,126.0,城市道路,拥堵,雨天,0.5,激进,117.5,37.1,0.3,0.51,0.55,463.0,2.8,0,4,36.0,2.212,0.415,0.796,0.521,4,0,1,9.0,0.067,0.134,2.252,24.54
皮卡,自然吸气,汽油,CVT,3.5,1957.0,380.0,城市道路,拥堵,雨天,30.6,温和,40.7,10.1,0.28,0.23,0.64,48.0,2.6,0,5,183.0,0.64,0.165,0.682,0.032,2,0,0,2.2,0.077,0.031,0.175,25.0
皮卡,混动,汽油,双离合,3.3,2106.0,378.0,山区公路,畅通,雨天,13.1,温和,102.6,7.2,0.26,0.24,0.35,273.0,2.2,1,5,183.0,0.189,0.072,0.584,0.107,1,1,0,6.9,0.303,0.058,0.293,22.0
MPV,自然吸气,汽油,自动,2.3,1286.0,368.0,城市道路,畅通,晴天,32.3,温和,52.1,39.6,0.45,0.35,0.4,70.0,2.8,0,1,165.0,0.586,0.2,0.722,0.183,1,0,1,8.1,0.193,0.048,0.749,17.33
轿车,插电混动,柴油,双离合,3.0,1694.0,268.0,山区公路,拥堵,雪天,39.1,激进,100.6,8.6,0.75,0.3,0.3,142.0,2.7,1,2,200.0,0.753,1.313,0.649,0.105,1,3,2,20.0,0.08,0.145,1.746,23.42
SUV,涡轮增压,汽油,自动,3.2,1550.0,293.0,山区公路,拥堵,晴天,23.7,标准,61.9,16.2,0.38,0.18,0.11,59.0,2.3,1,3,192.0,2.023,0.389,0.832,0.484,0,0,0,10.8,0.074,0.056,0.594,25.0
皮卡,涡轮增压,汽油,手动,3.6,2416.0,321.0,城市道路,严重拥堵,雪天,30.1,激进,33.7,29.1,0.53,0.69,0.31,490.0,2.2,1,2,134.0,2.084,1.04,0.957,0.101,2,3,0,16.3,0.101,0.18,2.305,25.0
跑车,自然吸气,柴油,手动,3.8,2361.0,130.0,乡村公路,畅通,雪天,33.1,温和,51.5,12.5,0.64,0.7,0.76,498.0,2.3,1,5,40.0,0.437,0.332,0.507,0.257,0,1,0,4.2,0.084,0.045,0.191,25.0
SUV,插电混动,汽油,手动,3.8,2285.0,117.0,乡村公路,严重拥堵,雾天,27.6,温和,101.8,8.8,0.66,0.59,0.77,229.0,2.6,0,5,196.0,0.678,0.427,0.341,0.081,0,0,1,2.9,0.098,0.031,0.194,23.08
皮卡,涡轮增压,柴油,手动,1.6,2428.0,272.0,乡村公路,畅通,晴天,-2.5,标准,120.0,6.5,0.71,0.28,0.41,52.0,2.3,1,4,156.0,2.031,0.26,0.301,0.571,1,0,0,4.7,0.205,0.022,1.04,23.34
跑车,自然吸气,柴油,CVT,2.1,2008.0,378.0,乡村公路,拥堵,晴天,36.6,激进,62.0,21.7,0.79,0.54,0.04,14.0,2.2,1,3,182.0,1.822,0.716,2.234,0.507,3,0,3,22.9,0.13,0.046,2.499,25.0
SUV,插电混动,柴油,手动,2.4,1943.0,315.0,高速公路,拥堵,雨天,27.1,温和,90.1,23.6,0.83,0.21,0.16,361.0,2.4,1,2,60.0,0.198,0.211,0.231,0.255,1,1,1,2.3,0.317,0.055,0.314,18.77
SUV,混动,汽油,手动,3.0,2095.0,173.0,乡村公路,严重拥堵,雨天,4.4,激进,62.8,18.9,0.6,0.44,0.54,46.0,2.1,0,1,111.0,1.774,1.313,0.81,0.314,3,4,1,20.8,0.034,0.038,1.533,25.0
SUV,自然吸气,柴油,自动,1.7,1884.0,248.0,高速公路,严重拥堵,雪天,23.7,温和,89.3,13.5,0.84,0.8,0.71,352.0,2.8,1,2,112.0,0.398,0.407,0.513,0.051,1,0,0,3.1,0.073,0.001,0.359,22.35
轿车,混动,柴油,CVT,1.3,2295.0,393.0,山区公路,畅通,雨天,27.3,温和,66.4,25.6,0.86,0.63,0.41,213.0,2.3,1,4,150.0,0.226,0.261,0.185,0.228,3,1,2,5.8,0.304,0.015,0.805,19.43
SUV,混动,汽油,CVT,3.6,2280.0,377.0,城市道路,缓行,晴天,1.6,温和,110.1,16.5,0.51,0.66,0.62,404.0,2.8,0,2,20.0,0.658,0.082,0.373,0.096,1,0,0,2.6,0.115,0.035,0.198,23.2
轿车,自然吸气,汽油,双离合,3.1,1503.0,388.0,城市道路,缓行,晴天,36.3,标准,113.5,30.6,0.73,0.6,0.58,90.0,2.8,1,3,115.0,0.649,0.725,1.374,0.315,0,1,2,4.5,0.227,0.008,1.092,22.27
SUV,自然吸气,柴油,手动,2.7,1525.0,195.0,高速公路,严重拥堵,雾天,24.2,激进,55.9,27.9,0.64,0.22,0.02,37.0,2.1,1,3,62.0,2.184,0.825,1.293,0.835,2,3,0,24.2,0.097,0.019,1.936,25.0
跑车,涡轮增压,汽油,自动,3.0,1997.0,170.0,山区公路,严重拥堵,晴天,35.4,激进,105.0,8.1,0.19,0.37,0.72,411.0,2.7,1,1,124.0,2.919,0.414,0.411,0.844,4,0,2,17.8,0.119,0.179,0.454,25.0
MPV,插电混动,柴油,双离合,2.1,1513.0,232.0,山区公路,严重拥堵,雨天,36.4,标准,96.8,31.7,0.37,0.18,0.77,115.0,2.4,1,3,198.0,0.821,0.642,1.252,0.279,0,0,0,3.8,0.24,0.084,1.278,19.69
轿车,自然吸气,汽油,双离合,3.1,2026.0,111.0,乡村公路,畅通,雾天,26.6,激进,77.6,19.5,0.23,0.57,0.34,128.0,2.1,1,5,73.0,1.326,0.323,0.449,0.264,0,5,1,15.1,0.058,0.013,2.318,21.62
跑车,插电混动,柴油,自动,1.3,1948.0,349.0,高速公路,严重拥堵,雾天,24.4,温和,109.1,15.6,0.83,0.44,0.2,275.0,2.1,1,5,139.0,0.945,0.228,0.678,0.09,0,1,0,6.2,0.17,0.057,0.826,23.19
轿车,自然吸气,柴油,CVT,1.9,1450.0,153.0,城市道路,畅通,雪天,39.0,标准,97.9,26.2,0.53,0.56,0.59,113.0,2.4,0,3,16.0,2.053,0.534,0.145,0.388,3,2,0,11.5,0.155,0.114,0.779,16.06
SUV,涡轮增压,汽油,手动,3.4,2234.0,101.0,城市道路,畅通,雨天,2.1,标准,106.8,9.1,0.14,0.67,0.07,23.0,2.5,1,2,174.0,2.228,0.474,0.935,0.559,2,2,0,5.3,0.219,0.02,0.367,24.53
SUV,混动,汽油,手动,3.6,2414.0,396.0,高速公路,缓行,雨天,27.2,激进,56.6,36.8,0.22,0.8,0.01,173.0,2.6,1,2,80.0,0.695,1.294,1.948,0.151,3,1,0,24.2,0.069,0.155,1.511,25.0
SUV,自然吸气,柴油,双离合,3.2,1896.0,370.0,城市道路,严重拥堵,雾天,33.0,激进,95.3,9.3,0.14,0.35,0.56,429.0,2.1,1,3,161.0,1.357,1.255,1.208,0.213,2,1,2,14.4,0.175,0.089,2.144,25.0
皮卡,插电混动,汽油,CVT,1.0,2182.0,128.0,山区公路,畅通,晴天,29.7,激进,99.4,37.1,0.29,0.29,0.65,392.0,2.8,0,1,69.0,3.444,1.231,0.444,0.124,5,2,1,19.1,0.155,0.107,1.435,21.02
轿车,混动,柴油,手动,2.8,1901.0,351.0,山区公路,缓行,雨天,6.5,激进,43.0,21.9,0.19,0.51,0.48,424.0,2.3,0,4,190.0,1.868,0.518,1.435,0.206,4,3,1,9.0,0.049,0.057,1.939,22.51
轿车,混动,柴油,CVT,3.9,2468.0,363.0,山区公路,畅通,雨天,-9.1,标准,91.1,7.6,0.11,0.12,0.08,232.0,2.4,0,2,190.0,1.478,0.593,0.797,0.59,1,2,0,14.9,0.075,0.097,0.353,21.19
皮卡,涡轮增压,柴油,自动,1.2,2264.0,235.0,乡村公路,拥堵,雾天,22.0,激进,81.9,8.5,0.11,0.79,0.12,415.0,2.8,1,1,120.0,1.676,0.799,1.286,0.234,2,4,1,11.2,0.048,0.137,2.281,25.0
MPV,插电混动,柴油,双离合,3.9,1982.0,243.0,乡村公路,畅通,晴天,7.0,标准,114.1,37.2,0.61,0.64,0.16,257.0,2.8,0,1,178.0,1.143,0.493,0.438,0.534,0,2,1,11.9,0.227,0.078,0.548,19.76
皮卡,混动,柴油,双离合,3.6,2169.0,210.0,乡村公路,畅通,晴天,12.3,温和,118.0,33.6,0.77,0.7,0.59,252.0,2.8,1,5,97.0,1.095,0.149,0.598,0.095,1,0,0,2.9,0.157,0.013,0.472,20.83
跑车,混动,汽油,自动,2.9,1385.0,218.0,乡村公路,拥堵,雨天,36.3,标准,74.7,32.9,0.6,0.68,0.06,93.0,2.7,1,4,82.0,1.062,0.703,1.344,0.348,0,3,0,4.7,0.16,0.01,1.542,22.8
皮卡,自然吸气,柴油,手动,3.5,1911.0,227.0,乡村公路,严重拥堵,雾天,5.8,温和,40.4,30.5,0.5,0.45,0.2,72.0,2.8,0,4,125.0,0.52,0.175,0.063,0.038,1,1,1,2.4,0.31,0.037,0.682,25.0
轿车,涡轮增压,柴油,双离合,2.7,1665.0,187.0,山区公路,缓行,雪天,22.7,标准,29.5,7.8,0.46,0.3,0.46,354.0,2.9,1,5,147.0,1.128,0.401,0.203,0.358,3,1,0,17.9,0.154,0.113,1.162,20.94
皮卡,插电混动,柴油,自动,2.9,2436.0,329.0,乡村公路,缓行,雾天,7.7,温和,37.8,28.0,0.37,0.38,0.69,427.0,2.9,0,5,95.0,0.45,0.077,0.274,0.237,1,0,1,6.7,0.1,0.052,0.532,21.5
跑车,自然吸气,柴油,手动,1.9,2308.0,143.0,山区公路,严重拥堵,雪天,35.2,标准,55.3,10.9,0.8,0.41,0.23,428.0,2.1,0,3,120.0,1.466,0.77,0.817,0.11,3,2,0,6.1,0.168,0.003,0.492,25.0
MPV,混动,柴油,双离合,3.2,2165.0,230.0,山区公路,严重拥堵,晴天,3.0,激进,87.5,35.1,0.58,0.78,0.79,257.0,2.8,0,4,35.0,2.888,0.699,1.792,0.331,3,2,2,19.2,0.105,0.155,1.801,25.0
皮卡,自然吸气,柴油,手动,2.4,1454.0,162.0,乡村公路,拥堵,雨天,30.6,温和,34.8,33.8,0.13,0.78,0.47,56.0,2.9,0,4,74.0,0.531,0.39,0.395,0.168,1,2,1,5.7,0.255,0.035,0.659,19.08
SUV,自然吸气,柴油,CVT,2.6,1464.0,160.0,城市道路,缓行,雾天,24.7,温和,85.0,22.8,0.39,0.5,0.79,315.0,2.7,0,1,139.0,0.355,0.111,0.598,0.095,0,0,0,3.5,0.088,0.015,0.21,16.86
SUV,混动,柴油,CVT,2.6,2091.0,314.0,山区公路,缓行,雪天,23.8,温和,99.0,6.8,0.7,0.62,0.41,300.0,2.5,1,3,198.0,0.201,0.104,0.25,0.185,5,1,0,8.0,0.17,0.022,0.294,23.22
SUV,混动,汽油,CVT,3.6,1689.0,299.0,山区公路,严重拥堵,雪天,6.8,激进,93.2,23.1,0.42,0.52,0.45,160.0,2.2,1,3,114.0,3.404,0.578,1.57,0.757,3,5,2,8.6,0.058,0.004,2.289,25.0
SUV,插电混动,柴油,CVT,2.8,1803.0,323.0,高速公路,拥堵,雨天,11.9,标准,51.6,30.5,0.79,0.53,0.78,367.0,2.6,0,5,24.0,2.216,0.628,0.687,0.521,0,2,0,6.4,0.239,0.031,1.019,20.32
SUV,涡轮增压,汽油,手动,2.7,1952.0,154.0,高速公路,缓行,晴天,20.1,标准,88.8,5.8,0.36,0.32,0.06,168.0,2.4,0,4,4.0,1.614,0.358,1.498,0.546,2,0,1,7.8,0.173,0.037,0.875,18.58
MPV,插电混动,汽油,自动,1.2,1775.0,143.0,山区公路,缓行,雾天,11.0,标准,63.1,32.1,0.29,0.26,0.57,269.0,2.0,0,1,94.0,1.158,0.246,1.404,0.28,0,2,0,14.8,0.115,0.054,0.937,17.51
MPV,插电混动,柴油,双离合,3.4,1709.0,289.0,城市道路,严重拥堵,雾天,3.3,温和,26.5,7.5,0.19,0.26,0.14,239.0,2.7,0,3,156.0,0.574,0.405,0.464,0.267,1,0,0,3.9,0.092,0.028,0.629,19.74
轿车,自然吸气,汽油,自动,3.4,2329.0,151.0,高速公路,畅通,雪天,8.0,标准,58.6,26.4,0.61,0.71,0.41,272.0,3.0,0,1,43.0,1.824,0.528,0.488,0.167,1,3,0,6.5,0.217,0.007,1.468,20.18
MPV,自然吸气,柴油,双离合,2.7,2351.0,384.0,乡村公路,畅通,雾天,14.2,激进,113.4,23.0,0.57,0.23,0.74,32.0,2.2,0,3,87.0,2.618,0.675,2.096,0.609,4,3,2,5.3,0.156,0.117,1.121,25.0
跑车,混动,柴油,CVT,2.1,1819.0,226.0,乡村公路,缓行,雨天,12.4,标准,62.5,26.8,0.78,0.36,0.14,15.0,2.2,1,1,43.0,0.485,0.24,0.739,0.43,3,0,1,16.0,0.249,0.05,1.425,20.85
轿车,自然吸气,汽油,双离合,3.9,1425.0,281.0,高速公路,畅通,雾天,16.8,标准,83.8,34.6,0.22,0.73,0.54,497.0,2.6,0,3,38.0,1.146,0.733,0.537,0.57,2,0,1,8.8,0.105,0.007,1.582,16.32
轿车,插电混动,汽油,手动,1.5,1521.0,349.0,高速公路,缓行,晴天,32.2,标准,53.4,27.4,0.57,0.65,0.52,193.0,2.6,1,3,90.0,1.07,0.593,0.147,0.465,2,1,1,16.6,0.259,0.087,1.422,13.93
轿车,插电混动,柴油,双离合,1.9,1937.0,322.0,高速公路,严重拥堵,晴天,30.9,标准,78.5,22.3,0.28,0.56,0.61,284.0,2.6,1,2,150.0,2.259,0.332,0.738,0.55,1,0,0,9.1,0.131,0.074,0.618,16.92
轿车,混动,汽油,双离合,2.3,2097.0,397.0,乡村公路,缓行,雨天,26.3,温和,67.5,5.1,0.59,0.46,0.28,167.0,2.3,0,3,195.0,0.25,0.094,0.697,0.144,1,0,0,2.2,0.27,0.039,0.585,16.59
SUV,自然吸气,汽油,自动,3.6,1244.0,328.0,山区公路,严重拥堵,雨天,25.4,温和,39.0,32.0,0.49,0.35,0.23,242.0,2.6,1,3,128.0,1.132,0.302,0.465,0.131,0,0,0,5.8,0.16,0.047,0.253,25.0
跑车,混动,汽油,双离合,3.2,1780.0,226.0,山区公路,严重拥堵,雪天,10.3,温和,24.5,17.0,0.85,0.11,0.11,393.0,2.1,0,1,35.0,0.275,0.077,0.744,0.162,0,0,0,7.6,0.24,0.05,0.327,25.0
皮卡,插电混动,柴油,手动,1.8,1435.0,220.0,山区公路,缓行,晴天,7.4,温和,89.7,22.8,0.88,0.29,0.55,187.0,2.4,0,2,48.0,1.13,0.208,0.242,0.189,0,1,0,7.7,0.103,0.035,0.175,15.16
轿车,混动,汽油,自动,2.2,2310.0,318.0,高速公路,缓行,雨天,32.1,标准,98.5,19.7,0.48,0.69,0.4,297.0,2.8,0,2,49.0,1.534,0.28,0.176,0.116,3,0,2,11.2,0.246,0.016,0.535,17.65
皮卡,插电混动,柴油,手动,1.7,1914.0,369.0,城市道路,拥堵,雪天,1.2,激进,108.5,7.2,0.58,0.25,0.53,284.0,2.9,1,2,95.0,1.685,1.106,0.796,0.569,1,1,1,4.6,0.082,0.08,1.677,24.86
SUV,混动,柴油,CVT,3.5,1624.0,377.0,山区公路,拥堵,雾天,-9.4,温和,53.6,24.8,0.16,0.38,0.62,148.0,2.9,0,2,1.0,0.43,0.412,0.155,0.262,2,0,0,8.3,0.298,0.013,0.651,20.54
皮卡,自然吸气,柴油,双离合,1.7,1376.0,262.0,乡村公路,拥堵,雪天,5.6,温和,39.4,39.4,0.32,0.61,0.26,179.0,2.1,0,2,186.0,0.968,0.152,0.272,0.149,4,0,0,7.1,0.098,0.014,0.887,21.79
跑车,插电混动,汽油,双离合,3.0,1432.0,128.0,高速公路,畅通,雪天,1.4,激进,116.2,22.5,0.44,0.66,0.54,279.0,2.6,0,4,108.0,0.77,0.766,1.427,0.682,3,4,0,14.9,0.161,0.022,1.581,19.26
跑车,自然吸气,柴油,自动,1.5,1608.0,218.0,山区公路,严重拥堵,晴天,2.3,温和,36.0,14.9,0.65,0.71,0.52,481.0,2.4,1,3,66.0,0.707,0.338,0.206,0.253,0,0,1,6.5,0.199,0.016,0.486,25.0
MPV,混动,汽油,双离合,3.3,2068.0,326.0,城市道路,拥堵,雨天,25.8,标准,51.4,32.0,0.42,0.48,0.7,359.0,2.5,0,2,116.0,1.885,0.123,0.69,0.222,2,0,1,9.5,0.187,0.068,0.953,25.0
跑车,插电混动,柴油,CVT,3.6,1512.0,119.0,城市道路,拥堵,晴天,7.1,温和,55.8,31.2,0.89,0.56,0.41,38.0,2.1,1,2,84.0,0.665,0.167,0.108,0.145,1,0,0,5.7,0.221,0.023,0.821,21.33
SUV,插电混动,汽油,双离合,1.3,2398.0,224.0,乡村公路,严重拥堵,雪天,7.4,标准,33.6,24.7,0.64,0.3,0.67,6.0,2.9,0,3,136.0,0.77,0.474,0.49,0.316,1,0,0,17.9,0.081,0.034,1.58,23.11
